product_urls,Brand_Name,smart_phone,Colour,RAM,ROM,Primary_Camera,Secondary_Camera,Display_Size,Battery_Capacity,Prices
https://www.flipkart.com/oneplus-10-pro-5g-emerald-forest-256-gb/p/itmb61494f5818b2?pid=MOBGZKM5QU3N7HEN&lid=LSTMOBGZKM5QU3N7HENIIGOSM&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGZKM5QU3N7HEN.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 10 Pro 5G (Emerald Forest, 256 GB)  (12 GB RAM)",Smartphones,Emerald Forest,-,-,-,-,-,-,"₹54,999"
https://www.flipkart.com/oneplus-9-pro-5g-morning-mist-128-gb/p/itmdbbb805114a34?pid=MOBGGA29ZKJDGWEE&lid=LSTMOBGGA29ZKJDGWEEUCMR0A&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGGA29ZKJDGWEE.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9 Pro 5G (Morning Mist, 128 GB)  (8 GB RAM)",Smartphones,Morning Mist,-,-,-,-,-,-,"₹45,990"
https://www.flipkart.com/oneplus-9-5g-winter-mist-256-gb/p/itmc5d1c40d3c10e?pid=MOBGDHTNXHMZFZA9&lid=LSTMOBGDHTNXHMZFZA9CTIHHW&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGDHTNXHMZFZA9.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9 5G (Winter Mist, 256 GB)  (12 GB RAM)",Smartphones,Winter Mist,-,-,-,-,-,-,"₹36,990"
https://www.flipkart.com/oneplus-10t-5g-moonstone-black-256-gb/p/itm9a8677129b2bf?pid=MOBGHBNGHKM9BUJZ&lid=LSTMOBGHBNGHKM9BUJZ3QX8KZ&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGHBNGHKM9BUJZ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 10T 5G (Moonstone Black, 256 GB)  (16 GB RAM)",Smartphones,Moonstone Black,-,-,-,-,-,-,"₹55,699"
https://www.flipkart.com/oneplus-10t-5g-jade-green-128-gb/p/itm5bd03bd748315?pid=MOBGHBZHDSVTCBMQ&lid=LSTMOBGHBZHDSVTCBMQYFHJPJ&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_35&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGHBZHDSVTCBMQ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 10T 5G (Jade Green, 128 GB)  (8 GB RAM)",Smartphones,Jade Green,-,-,-,-,-,-,"₹49,999"
https://www.flipkart.com/oneplus-8-pro-glacial-green-128-gb/p/itmbab57a1b511c8?pid=MOBFU897ZXAH8KRN&lid=LSTMOBFU897ZXAH8KRNYVXBMU&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_36&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBFU897ZXAH8KRN.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 8 Pro (Glacial Green, 128 GB)  (8 GB RAM)",Smartphones,Glacial Green,-,-,-,-,-,-,"₹38,990"
https://www.flipkart.com/oneplus-9rt-5g-hacker-black-256-gb/p/itm00851ef055072?pid=MOBGDKXSBC5DSTDQ&lid=LSTMOBGDKXSBC5DSTDQOAOVCT&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_37&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGDKXSBC5DSTDQ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9RT 5G (Hacker Black, 256 GB)  (8 GB RAM)",Smartphones,Hacker Black,-,-,-,-,-,-,"₹49,999"
https://www.flipkart.com/oneplus-9rt-5g-nano-silver-256-gb/p/itm00851ef055072?pid=MOBGDH2DNENAPGZX&lid=LSTMOBGDH2DNENAPGZXMTDWNR&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_38&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGDH2DNENAPGZX.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9RT 5G (Nano Silver, 256 GB)  (8 GB RAM)",Smartphones,Nano Silver,-,-,-,-,-,-,"₹50,999"
https://www.flipkart.com/oneplus-9rt-5g-hacker-black-128-gb/p/itm8c866e1ebfd45?pid=MOBGHBNG7EHNACJ3&lid=LSTMOBGHBNG7EHNACJ3DNEU7G&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_39&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGHBNG7EHNACJ3.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9RT 5G (Hacker Black, 128 GB)  (8 GB RAM)",Smartphones,Hacker Black,-,-,-,-,-,-,"₹37,999"
https://www.flipkart.com/oneplus-9-pro-pine-green-128-gb/p/itm15cca3b2b43f0?pid=MOBGGA29ZMHUYPA9&lid=LSTMOBGGA29ZMHUYPA9Q44LOA&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_40&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGGA29ZMHUYPA9.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9 Pro (Pine Green, 128 GB)  (8 GB RAM)",Smartphones,Pine Green,-,-,-,-,-,-,"₹45,990"
